Zona,Barrio,Día,Color
1,"Antonio Nariño, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
1,"Barrios Unidos, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
1,"Chapinero, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
1,"Los Mártires, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
1,"Puente Aranda, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
1,"Rafael Uribe Uribe, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
1,"Santa Fé, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
1,"Teusaquillo, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
1,"Tunjuelito, Bogotá D.C, Colombia",11/04/2024,"#7F29CB"
2,"Engativá, Bogotá D.C, Colombia",12/04/2024,"#296BCB"
2,"Fontibón, Bogotá D.C, Colombia",12/04/2024,"#296BCB"
2,"Suministro de ESP Aguas La Sabana, Bogotá D.C, Colombia",12/04/2024,"#296BCB"
3,"Barrios Unidos, Bogotá D.C, Colombia",13/04/2024,"#CB7529"
3,"Suba, Bogotá D.C, Colombia",13/04/2024,"#CB7529"
3,"Usaquen, Bogotá D.C, Colombia",13/04/2024,"#CB7529"
4,"Bosa, Bogotá D.C, Colombia",14/04/2024,"#CB29B7"
4,"Ciudad Bolivar, Bogotá D.C, Colombia",14/04/2024,"#CB29B7"
4,"Kennedy, Bogotá D.C, Colombia",14/04/2024,"#CB29B7"
4,"Puente Aranda, Bogotá D.C, Colombia",14/04/2024,"#CB29B7"
4,"Tunjuelito, Bogotá D.C, Colombia",14/04/2024,"#CB29B7"
5,"Ciudad Bolivar, Bogotá D.C, Colombia",15/04/2024,"#29B5CB"
5,"Rafael Uribe Uribe, Bogotá D.C, Colombia",15/04/2024,"#29B5CB"
5,"San Cristobal, Bogotá D.C, Colombia",15/04/2024,"#29B5CB"
5,"Santa Fé, Bogotá D.C, Colombia",15/04/2024,"#29B5CB"
5,"Tunjuelito, Bogotá D.C, Colombia",15/04/2024,"#29B5CB"
